Source,X,Y,Z,Nanoseconds
6e4a,0.0,0.0,0.0,933914614
6e4a,-0.06800000000000006,-0.06899999999999995,0.10000000000000009,933932864
6e4a,-0.397,-0.3859999999999999,0.508,933941047
6e4a,-0.03100000000000014,0.13900000000000023,-0.04200000000000004,933949299
6e4a,0.0020000000000000018,0.1459999999999999,-0.050999999999999934,933975300
6e4a,-0.1080000000000001,0.09600000000000009,0.061000000000000165,933980804
6e4a,-0.14600000000000013,0.07500000000000018,0.18600000000000017,933989038
6e4a,-0.13600000000000012,0.02499999999999991,0.34099999999999997,933992320
6e4a,-0.1140000000000001,-0.03799999999999981,0.6139999999999999,933995536
6e4a,-0.123,-0.11099999999999977,1.158,934002115
6e4a,-0.06000000000000005,0.18300000000000027,-0.01200000000000001,934008770
6e4a,-0.09600000000000009,0.16800000000000015,0.08000000000000007,934013721
6e4a,-0.08499999999999996,0.07299999999999995,0.133,934017074
6e4a,-0.028000000000000025,-0.027000000000000135,0.20599999999999996,934021972
6e4a,-0.019000000000000128,-0.09499999999999975,0.43900000000000006,934025182
6e4a,-0.017000000000000126,-0.1349999999999998,0.9159999999999999,934028398
6e4a,0.0029999999999998916,-0.17899999999999983,1.597,934034904
6e4a,0.040000000000000036,-0.17799999999999994,1.8239999999999998,934043107
6e4a,0.06499999999999995,-0.16800000000000015,1.935,934047916
6e4a,0.050000000000000044,-0.15200000000000014,1.9769999999999999,934054435
6e4a,0.06800000000000006,-0.08499999999999996,2.017,934064421
6e4a,0.05499999999999994,-0.09499999999999975,2.005,934070893
6e4a,0.04499999999999993,-0.10299999999999976,1.9820000000000002,934085175
6e4a,0.062000000000000055,-0.10000000000000009,1.9729999999999999,934091775
6e4a,0.08999999999999986,0.11399999999999988,-0.21999999999999997,934095029
6e4a,0.0040000000000000036,0.07299999999999995,-0.17399999999999993,934098298
6e4a,0.040999999999999925,0.016999999999999904,-0.23199999999999998,934101484
6e4a,0.026000000000000023,0.051000000000000156,-0.16700000000000004,934108029
6e4a,0.04299999999999993,0.17399999999999993,-0.20799999999999996,934121239
6e4a,0.15700000000000003,0.16300000000000026,-0.03299999999999992,934124528
6e4a,0.30200000000000005,0.29899999999999993,0.08499999999999996,934129354
6e4a,0.3899999999999999,0.40100000000000025,0.264,934136162
6e4a,-0.1160000000000001,0.08300000000000018,-0.375,934162509
6e4a,-0.09499999999999997,0.13900000000000023,-0.264,934167460
6e4a,-0.06899999999999995,0.17399999999999993,-0.16100000000000003,934170646
6e4a,1.0090000000000001,-1.799,-2.174,934186933
6e4a,0.23899999999999988,1.2320000000000002,-1.974,934188598
6e4a,0.04600000000000004,0.556,-1.409,934193460
6e4a,-0.030000000000000027,0.552,-1.166,934196751
6e4a,-0.049000000000000155,0.488,-0.484,934208218
6e4a,-0.08200000000000007,0.4900000000000002,-0.6229999999999999,934216370
6e4a,-0.09400000000000008,0.5009999999999999,-0.737,934224491
6e4a,-0.07699999999999996,0.4900000000000002,-0.44499999999999995,1552603011
6e4a,-0.13000000000000012,0.5100000000000002,-0.612,1552604681
6e4a,-0.16200000000000014,0.5260000000000002,-0.7529999999999999,1552611249
6e4a,-0.15700000000000003,0.5369999999999999,-0.837,1552614460
6e4a,-0.15500000000000003,0.5350000000000001,-0.9069999999999999,1552616096
6e4a,-0.15000000000000013,0.5329999999999999,-0.95,1552621063
6e4a,-0.15000000000000013,0.5289999999999999,-0.958,1552626254
6e4a,-0.14300000000000002,0.5329999999999999,-0.9669999999999999,1552627935
6e4a,-0.14900000000000002,0.5420000000000003,-0.9649999999999999,1552631129
6e4a,-0.15500000000000003,0.5369999999999999,-0.9649999999999999,1552634388
6e4a,-0.09499999999999997,0.5270000000000001,-0.574,1552650477
6e4a,-0.11699999999999999,0.476,-0.4909999999999999,1552658618
6e4a,-0.17100000000000004,0.4780000000000002,-0.6249999999999999,1552661813
6e4a,-0.17799999999999994,0.476,-0.7849999999999999,1552663404
6e4a,-0.14500000000000002,0.4969999999999999,-0.5419999999999999,1552671405
6e4a,-0.15900000000000003,0.5020000000000002,-0.701,1552674609
6e4a,-0.18900000000000006,0.504,-0.82,1552677828
6e4a,-0.20599999999999996,0.5070000000000001,-0.9069999999999999,1552682690
6e4a,-0.08899999999999997,0.4500000000000002,-0.612,1552695606
6e4a,-0.123,0.44399999999999995,-0.704,1552700418
6e4a,-0.15000000000000013,0.44399999999999995,-0.7809999999999999,1552702007
6e4a,-0.15300000000000002,0.5020000000000002,-0.864,1552706851
6e4a,-0.14400000000000013,0.496,-0.9139999999999999,1552711829
