Source,X,Y,Z,Nanoseconds
VR,0.0220666,-0.163577,1.03805,117936265
VR,0.0220777,-0.163589,1.03815,118642122
VR,0.0219878,-0.163479,1.03831,119203799
VR,0.0219972,-0.16349,1.0384,119852367
VR,0.022007,-0.163503,1.03851,120522785
VR,0.0220153,-0.163513,1.03859,121085701
VR,0.0220239,-0.163525,1.03868,121681374
VR,0.0220315,-0.163536,1.03877,122244135
VR,0.0220398,-0.163548,1.03886,122836678
VR,0.0220475,-0.16356,1.03895,123398366
VR,0.022056,-0.163572,1.03905,123998466
VR,0.0220642,-0.163584,1.03914,124595117
VR,0.022072,-0.163596,1.03923,125155051
VR,0.0220802,-0.163609,1.03933,125752586
VR,0.0220884,-0.163621,1.03942,126352003
VR,0.0220959,-0.163634,1.03952,126915317
VR,0.0221152,-0.163642,1.03962,127513846
VR,0.0221231,-0.163656,1.03972,128103562
VR,0.0221313,-0.163669,1.03982,128699541
VR,0.0221404,-0.163685,1.03993,129388045
VR,0.0221478,-0.163698,1.04003,129949503
VR,0.022157,-0.163713,1.04014,130639134
VR,0.0221643,-0.163727,1.04024,131201271
VR,0.0221725,-0.163741,1.04035,131822774
VR,0.0221795,-0.163756,1.04045,132386240
VR,0.0221875,-0.16377,1.04056,132989306
VR,0.022195,-0.163785,1.04066,133582819
VR,0.0222026,-0.163799,1.04077,134173823
VR,0.02221,-0.163815,1.04087,134774849
VR,0.0222178,-0.163829,1.04098,135368158
VR,0.0222571,-0.163883,1.04111,135930129
VR,0.0222647,-0.163898,1.04122,136527182
VR,0.0222721,-0.163914,1.04133,137118829
VR,0.0222796,-0.163929,1.04143,137706763
VR,0.0222871,-0.163945,1.04155,138305836
VR,0.0222943,-0.16396,1.04165,138869381
VR,0.0223017,-0.163976,1.04176,139467030
VR,0.0223086,-0.163992,1.04187,140029330
VR,0.0223171,-0.16401,1.042,140710566
VR,0.0223237,-0.164027,1.04211,141270269
VR,0.0223304,-0.164042,1.04222,141828341
VR,0.0223371,-0.164057,1.04233,142384690
VR,0.0223438,-0.164073,1.04244,142940335
VR,0.0223503,-0.164088,1.04255,143498595
VR,0.0223378,-0.16413,1.04266,144086805
VR,0.0223444,-0.164147,1.04278,144676186
VR,0.0223513,-0.164164,1.0429,145274406
VR,0.0223579,-0.164182,1.04302,145872135
VR,0.0223647,-0.164199,1.04314,146461528
VR,0.0223714,-0.164217,1.04326,147063289
VR,0.0223777,-0.164234,1.04338,147626933
VR,0.0223844,-0.164252,1.0435,148225341
VR,0.0223907,-0.164269,1.04362,148787653
VR,0.0223974,-0.164287,1.04374,149384895
VR,0.0224034,-0.164304,1.04386,149948821
VR,0.0224103,-0.164322,1.04399,150560478
VR,0.0224167,-0.16434,1.04412,151155648
VR,0.0224234,-0.164358,1.04424,151756144
VR,0.0224296,-0.164375,1.04437,152319442
VR,0.0224267,-0.164384,1.04452,153008737
VR,0.0224339,-0.164406,1.04468,153695850
VR,0.0224413,-0.164427,1.04482,154376121
VR,0.0224485,-0.164448,1.04497,155045938
VR,0.0224546,-0.164465,1.0451,155607855
VR,0.0224609,-0.164484,1.04523,156198029
VR,0.0224675,-0.164503,1.04536,156781746
VR,0.0224741,-0.164522,1.04549,157379288
VR,0.0224798,-0.164539,1.04561,157901386
VR,0.0224863,-0.164557,1.04574,158499071
VR,0.022493,-0.164577,1.04588,159095789
VR,0.0224997,-0.164596,1.04602,159692881
VR,0.0225066,-0.164616,1.04616,160294772
VR,0.0225133,-0.164635,1.04629,160891309
VR,0.022534,-0.164638,1.04643,161453533
VR,0.0225409,-0.164658,1.04657,162058869
VR,0.0225484,-0.164679,1.04673,162681591
VR,0.0225554,-0.164699,1.04686,163264853
VR,0.0225633,-0.164722,1.04703,163956243
VR,0.02257,-0.16474,1.04716,164519808
VR,0.0225769,-0.16476,1.0473,165118132
VR,0.0225836,-0.164779,1.04744,165680305
VR,0.0225905,-0.164798,1.04758,166271007
VR,0.0225972,-0.164817,1.04772,166833244
VR,0.0226041,-0.164837,1.04786,167424974
VR,0.0226111,-0.164856,1.048,167987052
VR,0.0226183,-0.164876,1.04814,168588232
VR,0.0226256,-0.164895,1.04828,169152092
VR,0.0226926,-0.164989,1.0485,169750622
VR,0.0227003,-0.165008,1.04864,170313336
VR,0.0227082,-0.165029,1.04879,170914085
VR,0.0227159,-0.165048,1.04893,171476274
VR,0.0227237,-0.165069,1.04908,172066277
VR,0.0227321,-0.165089,1.04923,172663587
VR,0.0227401,-0.16511,1.04938,173262163
VR,0.0227503,-0.165134,1.04956,173972270
VR,0.0227591,-0.165156,1.04973,174614897
VR,0.0227695,-0.16518,1.04991,175302199
VR,0.0227785,-0.1652,1.05005,175864132
VR,0.022788,-0.165223,1.05022,176520381
VR,0.0227971,-0.165243,1.05037,177084160
VR,0.0228021,-0.165286,1.05052,177676416
VR,0.0228122,-0.165307,1.05067,178247338
VR,0.0228214,-0.165328,1.05083,178837246
VR,0.022831,-0.165349,1.05098,179399450
VR,0.0228406,-0.16537,1.05114,179997340
VR,0.022851,-0.165392,1.0513,180594936
VR,0.0228609,-0.165413,1.05145,181192037
VR,0.0228717,-0.165435,1.05162,181788486
VR,0.0228819,-0.165456,1.05178,182386924
VR,0.0228928,-0.165478,1.05194,182975545
VR,0.022903,-0.165499,1.05209,183560662
VR,0.0229148,-0.165522,1.05226,184158444
VR,0.022926,-0.165544,1.05241,184720425
VR,0.0229388,-0.165569,1.0526,185408414
VR,0.0229508,-0.165591,1.05276,185983527
VR,0.0229607,-0.165613,1.05296,186701967
VR,0.0229727,-0.165634,1.05312,187264112
VR,0.0229862,-0.16566,1.0533,187951685
VR,0.0230005,-0.165683,1.05348,188544937
VR,0.0230132,-0.165705,1.05365,189153079
VR,0.0230269,-0.165728,1.05381,189744192
VR,0.0230392,-0.16575,1.05397,190308710
VR,0.0230536,-0.165773,1.05414,190907331
VR,0.0230672,-0.165795,1.0543,191469285
VR,0.0230809,-0.165818,1.05447,192067361
VR,0.023095,-0.16584,1.05463,192629305
VR,0.0231091,-0.165863,1.0548,193226162
VR,0.0231236,-0.165885,1.05497,193790168
VR,0.0231525,-0.16588,1.05515,194388214
VR,0.0231676,-0.165903,1.05532,194950381
VR,0.0231825,-0.165926,1.05549,195548328
VR,0.023199,-0.165949,1.05566,196139892
VR,0.0232167,-0.165976,1.05586,196831324
VR,0.023236,-0.166003,1.05606,197509584
VR,0.0232513,-0.166026,1.05623,198089649
VR,0.0232711,-0.166051,1.05641,198696521
VR,0.023288,-0.166073,1.05658,199257949
VR,0.0233052,-0.166097,1.05676,199856757
VR,0.0233226,-0.16612,1.05693,200418834
VR,0.02334,-0.166144,1.0571,201010099
VR,0.0233582,-0.166167,1.05727,201573996
VR,0.0233938,-0.166213,1.05744,202172937
VR,0.0234123,-0.166236,1.05761,202735094
VR,0.0234308,-0.16626,1.05779,203324789
VR,0.0234499,-0.166283,1.05796,203886935
VR,0.023469,-0.166307,1.05814,204483515
VR,0.02349,-0.166331,1.05832,205085585
VR,0.0235095,-0.166355,1.0585,205682409
VR,0.0235314,-0.16638,1.05869,206290602
VR,0.0235515,-0.166404,1.05887,206887756
VR,0.0235771,-0.166433,1.05908,207575595
VR,0.0235964,-0.166456,1.05925,208139255
VR,0.0236249,-0.166486,1.05947,208827795
VR,0.023647,-0.16651,1.05964,209389749
VR,0.0236691,-0.166535,1.05983,209983999
VR,0.0236902,-0.166558,1.06,210547615
VR,0.0237222,-0.166605,1.06017,211109468
VR,0.0237442,-0.16663,1.06035,211687276
VR,0.0237694,-0.166655,1.06054,212279534
VR,0.0237916,-0.166679,1.06071,212843014
VR,0.0238177,-0.166706,1.0609,213441658
VR,0.0238425,-0.16673,1.06108,214004171
VR,0.0238672,-0.166756,1.06127,214605382
VR,0.0238926,-0.166781,1.06145,215167556
VR,0.023918,-0.166807,1.06164,215764950
VR,0.0239478,-0.166835,1.06183,216365663
VR,0.0239745,-0.166861,1.06202,216966202
VR,0.0240029,-0.166888,1.06221,217564591
VR,0.0240297,-0.166914,1.0624,218157782
VR,0.0240285,-0.166903,1.06261,218720251
VR,0.0240597,-0.166933,1.06283,219394991
VR,0.0240943,-0.166965,1.06305,220096525
VR,0.024121,-0.16699,1.06323,220660260
VR,0.0241561,-0.167021,1.06346,221349331
VR,0.0241853,-0.167047,1.06364,221911575
VR,0.0242195,-0.167078,1.06386,222602423
VR,0.0242511,-0.167105,1.06406,223193238
VR,0.024281,-0.167132,1.06425,223785559
VR,0.0243137,-0.16716,1.06444,224382968
VR,0.0243453,-0.167188,1.06465,224998300
VR,0.0243812,-0.167217,1.06485,225596003
VR,0.0244114,-0.167243,1.06503,226159678
VR,0.0244925,-0.167216,1.06524,226765755
VR,0.0245258,-0.167243,1.06543,227329135
VR,0.0245596,-0.167271,1.06563,227925620
VR,0.0245931,-0.167298,1.06581,228487803
VR,0.0246272,-0.167325,1.06601,229077845
VR,0.0246617,-0.167352,1.0662,229639958
VR,0.0247022,-0.167385,1.06642,230328041
VR,0.0247391,-0.167413,1.06662,230919767
VR,0.0247804,-0.167446,1.06685,231607093
VR,0.0248195,-0.167476,1.06705,232216470
