Source,X,Y,Z,Nanoseconds
VR,0.0,0.0,0.0,115817781
VR,-3.7999999999982492e-06,-5.000000000005e-07,1.999999999946489e-06,116432044
VR,-7.500000000000562e-06,-1.000000000001e-06,2.9999999999752447e-06,117009125
VR,-1.0799999999998311e-05,-1.0999999999969368e-06,5.000000000032756e-06,117597926
VR,-1.4300000000001811e-05,-1.3999999999986246e-06,5.999999999950489e-06,118187074
VR,-1.7799999999998373e-05,-1.7000000000003124e-06,8.000000000008e-06,118778812
VR,-2.110000000000306e-05,-1.8999999999991246e-06,9.000000000036756e-06,119340213
VR,-2.4300000000004873e-05,-2.299999999996749e-06,1.0999999999983245e-05,119936325
VR,-2.790000000000431e-05,-2.5000000000025002e-06,1.2000000000012001e-05,120532415
VR,-3.090000000000037e-05,-2.799999999997249e-06,1.399999999995849e-05,121094031
VR,-3.419999999999812e-05,-3.0000000000030003e-06,1.4999999999987246e-05,121689846
VR,-3.7300000000004e-05,-3.0000000000030003e-06,1.7000000000044757e-05,122279466
VR,-4.070000000000462e-05,-3.0000000000030003e-06,1.799999999996249e-05,122849569
VR,-4.6900000000002495e-05,3.2000000000018125e-06,1.8999999999991246e-05,123426118
VR,-5.030000000000312e-05,3.2000000000018125e-06,2.0999999999937735e-05,124041569
VR,-5.379999999999968e-05,3.7999999999982492e-06,2.2999999999995246e-05,124728143
VR,-5.710000000000437e-05,4.099999999999937e-06,2.4000000000024002e-05,125390505
VR,-6.029999999999924e-05,4.400000000001625e-06,2.599999999997049e-05,125996567
VR,-6.319999999999937e-05,4.799999999999249e-06,2.8000000000028002e-05,126595509
VR,-6.640000000000118e-05,5.199999999996874e-06,2.999999999997449e-05,127208594
VR,-6.870000000000487e-05,5.400000000002625e-06,3.100000000000325e-05,127766694
VR,-7.100000000000162e-05,6.400000000003625e-06,3.2000000000032e-05,128353155
VR,-7.360000000000005e-05,7.000000000000062e-06,3.399999999997849e-05,128949582
VR,-7.610000000000255e-05,7.100000000002937e-06,3.6000000000036e-05,129540624
VR,-7.880000000000387e-05,7.600000000003437e-06,3.799999999998249e-05,130135813
VR,-8.120000000000349e-05,7.899999999998186e-06,4.0000000000040004e-05,130731217
VR,-8.350000000000024e-05,8.399999999998686e-06,4.099999999995774e-05,131268618
VR,-8.559999999999818e-05,8.80000000000325e-06,4.300000000001525e-05,131860972
VR,-8.840000000000237e-05,3.999999999999837e-05,5.699999999997374e-05,132451093
VR,-8.99999999999998e-05,4.030000000000006e-05,5.900000000003125e-05,133012778
VR,-9.230000000000349e-05,4.069999999999768e-05,5.999999999994898e-05,133609667
VR,-9.409999999999974e-05,4.1100000000002246e-05,6.20000000000065e-05,134216357
VR,-9.620000000000462e-05,4.1600000000002746e-05,6.399999999995298e-05,134812419
VR,-9.789999999999799e-05,4.230000000000206e-05,6.499999999998174e-05,135377116
VR,-9.980000000000405e-05,4.280000000000256e-05,6.700000000003925e-05,135958076
VR,-0.00010150000000000436,4.370000000000068e-05,6.899999999998574e-05,136597344
VR,-0.00010290000000000299,4.420000000000118e-05,7.100000000004325e-05,137159439
VR,-0.00010469999999999924,4.4900000000000495e-05,7.299999999998974e-05,137751326
VR,-0.00010620000000000074,4.529999999999812e-05,7.499999999993623e-05,138437900
VR,-0.00010809999999999986,4.5900000000001495e-05,7.699999999999374e-05,139120492
VR,-7.069999999999993e-05,-8.999999999981245e-07,5.599999999994498e-05,139765000
VR,-7.189999999999974e-05,-3.999999999976245e-07,5.8000000000002494e-05,140343593
VR,-7.259999999999905e-05,-1.9999999999881224e-07,5.900000000003125e-05,140939332
VR,-7.379999999999887e-05,3.000000000016878e-07,5.999999999994898e-05,141529702
VR,-7.429999999999937e-05,6.999999999993123e-07,6.20000000000065e-05,142119994
VR,-7.490000000000274e-05,1.300000000002688e-06,6.399999999995298e-05,142681069
VR,-7.569999999999799e-05,1.5999999999974368e-06,6.499999999998174e-05,143239507
VR,-7.610000000000255e-05,1.7000000000003124e-06,6.700000000003925e-05,143794261
VR,-7.680000000000187e-05,2.099999999997937e-06,6.899999999998574e-05,144349380
VR,-7.700000000000068e-05,1.8999999999991246e-06,7.100000000004325e-05,144904856
VR,-7.760000000000405e-05,2.2000000000008124e-06,7.299999999998974e-05,145490359
VR,-7.769999999999999e-05,1.7000000000003124e-06,7.40000000000185e-05,146086885
VR,-7.820000000000049e-05,1.8999999999991246e-06,7.599999999996498e-05,146758057
