Source,X,Y,Z,Nanoseconds
VR,-0.0489398,-0.0552512,0.884197,115817781
VR,-0.0489436,-0.0552517,0.884199,116432044
VR,-0.0489473,-0.0552522,0.8842,117009125
VR,-0.0489506,-0.0552523,0.884202,117597926
VR,-0.0489541,-0.0552526,0.884203,118187074
VR,-0.0489576,-0.0552529,0.884205,118778812
VR,-0.0489609,-0.0552531,0.884206,119340213
VR,-0.0489641,-0.0552535,0.884208,119936325
VR,-0.0489677,-0.0552537,0.884209,120532415
VR,-0.0489707,-0.055254,0.884211,121094031
VR,-0.048974,-0.0552542,0.884212,121689846
VR,-0.0489771,-0.0552542,0.884214,122279466
VR,-0.0489805,-0.0552542,0.884215,122849569
VR,-0.0489867,-0.055248,0.884216,123426118
VR,-0.0489901,-0.055248,0.884218,124041569
VR,-0.0489936,-0.0552474,0.88422,124728143
VR,-0.0489969,-0.0552471,0.884221,125390505
VR,-0.0490001,-0.0552468,0.884223,125996567
VR,-0.049003,-0.0552464,0.884225,126595509
VR,-0.0490062,-0.055246,0.884227,127208594
VR,-0.0490085,-0.0552458,0.884228,127766694
VR,-0.0490108,-0.0552448,0.884229,128353155
VR,-0.0490134,-0.0552442,0.884231,128949582
VR,-0.0490159,-0.0552441,0.884233,129540624
VR,-0.0490186,-0.0552436,0.884235,130135813
VR,-0.049021,-0.0552433,0.884237,130731217
VR,-0.0490233,-0.0552428,0.884238,131268618
VR,-0.0490254,-0.0552424,0.88424,131860972
VR,-0.0490282,-0.0552112,0.884254,132451093
VR,-0.0490298,-0.0552109,0.884256,133012778
VR,-0.0490321,-0.0552105,0.884257,133609667
VR,-0.0490339,-0.0552101,0.884259,134216357
VR,-0.049036,-0.0552096,0.884261,134812419
VR,-0.0490377,-0.0552089,0.884262,135377116
VR,-0.0490396,-0.0552084,0.884264,135958076
VR,-0.0490413,-0.0552075,0.884266,136597344
VR,-0.0490427,-0.055207,0.884268,137159439
VR,-0.0490445,-0.0552063,0.88427,137751326
VR,-0.049046,-0.0552059,0.884272,138437900
VR,-0.0490479,-0.0552053,0.884274,139120492
VR,-0.0490105,-0.0552521,0.884253,139765000
VR,-0.0490117,-0.0552516,0.884255,140343593
VR,-0.0490124,-0.0552514,0.884256,140939332
VR,-0.0490136,-0.0552509,0.884257,141529702
VR,-0.0490141,-0.0552505,0.884259,142119994
VR,-0.0490147,-0.0552499,0.884261,142681069
VR,-0.0490155,-0.0552496,0.884262,143239507
VR,-0.0490159,-0.0552495,0.884264,143794261
VR,-0.0490166,-0.0552491,0.884266,144349380
VR,-0.0490168,-0.0552493,0.884268,144904856
VR,-0.0490174,-0.055249,0.88427,145490359
VR,-0.0490175,-0.0552495,0.884271,146086885
VR,-0.049018,-0.0552493,0.884273,146758057
VR,-0.0490181,-0.0552495,0.884274,147319058
VR,-0.0490185,-0.0552492,0.884275,147877344
VR,-0.0490184,-0.0552486,0.884276,148432607
VR,-0.0490191,-0.0552475,0.884279,149114105
VR,-0.0490191,-0.0552472,0.884281,149796101
VR,-0.0490193,-0.0552468,0.884282,150320564
VR,-0.0490185,-0.0552478,0.884283,150911889
VR,-0.0490183,-0.0552473,0.884285,151528938
VR,-0.049018,-0.0552472,0.884287,152125124
VR,-0.0490174,-0.0552465,0.884288,152720506
VR,-0.0490172,-0.0552462,0.884289,153282348
VR,-0.0490165,-0.0552456,0.88429,153877965
VR,-0.0490161,-0.0552453,0.884292,154473886
VR,-0.0490154,-0.0552453,0.884293,155069166
VR,-0.0490147,-0.0552459,0.884294,155630820
VR,-0.0490141,-0.0552458,0.884295,156224845
VR,-0.0490135,-0.0552458,0.884296,156786450
VR,-0.0490253,-0.0552281,0.884306,157383138
VR,-0.0490243,-0.0552273,0.884307,157944641
VR,-0.0490235,-0.0552269,0.884308,158590698
VR,-0.0490221,-0.0552263,0.884309,159310068
VR,-0.049021,-0.0552258,0.88431,160006232
VR,-0.0490195,-0.0552254,0.884311,160688366
VR,-0.0490185,-0.055225,0.884312,161250516
VR,-0.0490171,-0.0552247,0.884313,161839571
VR,-0.049016,-0.0552244,0.884314,162400900
VR,-0.0490144,-0.0552241,0.884315,162989655
VR,-0.0490131,-0.0552231,0.884316,163548248
VR,-0.0490119,-0.0552225,0.884317,164142567
VR,-0.0490105,-0.055222,0.884318,164728104
VR,-0.0489795,-0.0551726,0.884327,165324757
VR,-0.0489777,-0.0551718,0.884328,165923450
VR,-0.0489761,-0.055171,0.884329,166520384
VR,-0.0489743,-0.0551703,0.88433,167118040
VR,-0.0489727,-0.0551695,0.884331,167713758
VR,-0.0489709,-0.0551693,0.884331,168316987
VR,-0.0489693,-0.0551687,0.884332,168879710
VR,-0.0489676,-0.0551684,0.884333,169440280
VR,-0.0489658,-0.0551678,0.884333,170012533
VR,-0.0489638,-0.0551667,0.884334,170603079
VR,-0.048962,-0.055166,0.884335,171201995
VR,-0.0489595,-0.0551649,0.884336,171937589
VR,-0.0489576,-0.0551639,0.884337,172529412
VR,-0.0489422,-0.0551803,0.884295,173091660
VR,-0.0489403,-0.0551791,0.884295,173652888
VR,-0.0489383,-0.0551782,0.884295,174243211
VR,-0.0489361,-0.055177,0.884296,174839040
VR,-0.0489342,-0.055176,0.884296,175397672
