Source,X,Y,Z,Nanoseconds
VR,0.0368228,-0.146521,0.903782,112973027
VR,0.0368145,-0.146527,0.903778,113578834
VR,0.0368065,-0.146534,0.903775,114168381
VR,0.0367984,-0.14654,0.903772,114757735
VR,0.0367901,-0.146546,0.903769,115361405
VR,0.0367417,-0.146502,0.90369,115950496
VR,0.0367334,-0.146508,0.903686,116544525
VR,0.0367252,-0.146514,0.903683,117133795
VR,0.0367173,-0.146519,0.903679,117695925
VR,0.0367084,-0.146525,0.903675,118325480
VR,0.0366998,-0.14653,0.903673,118914826
VR,0.0366912,-0.146536,0.903669,119504628
VR,0.0366813,-0.146543,0.903665,120199308
VR,0.0366729,-0.146548,0.903662,120793577
VR,0.0366648,-0.146555,0.903658,121355308
VR,0.0366565,-0.146561,0.903653,121937442
VR,0.0366482,-0.146567,0.90365,122530596
VR,0.0366399,-0.146572,0.903646,123093090
VR,0.0366319,-0.146578,0.903642,123654700
VR,0.0366235,-0.146583,0.903639,124245855
VR,0.0366247,-0.14659,0.903632,124834659
VR,0.0366163,-0.146595,0.903628,125423237
VR,0.036608,-0.146602,0.903624,126015883
VR,0.0365996,-0.146608,0.90362,126619962
VR,0.0365911,-0.146614,0.903616,127212215
VR,0.0365829,-0.146619,0.903612,127772695
VR,0.0365747,-0.146625,0.903608,128361989
VR,0.0365649,-0.146631,0.903603,129058280
VR,0.0365565,-0.146637,0.903599,129642862
VR,0.0365466,-0.146644,0.903595,130349447
VR,0.0365369,-0.146652,0.90359,131042894
VR,0.0365274,-0.146659,0.903585,131718855
VR,0.0365411,-0.146691,0.903563,132297443
VR,0.0365326,-0.146697,0.903559,132889535
VR,0.0365243,-0.146703,0.903555,133491414
VR,0.036516,-0.146709,0.90355,134086021
VR,0.036508,-0.146715,0.903546,134681696
VR,0.0365,-0.146721,0.903542,135242693
VR,0.0364919,-0.146728,0.903538,135833993
VR,0.0364838,-0.146734,0.903534,136430858
VR,0.0364757,-0.14674,0.90353,137007776
VR,0.0364676,-0.146746,0.903525,137605952
VR,0.0364594,-0.146752,0.903521,138200556
VR,0.0364515,-0.146758,0.903517,138795746
VR,0.0364437,-0.146764,0.903513,139357081
VR,0.036436,-0.146771,0.903508,139948399
VR,0.036428,-0.146778,0.903504,140543115
VR,0.0363679,-0.146738,0.903531,141225362
VR,0.0363597,-0.146745,0.903526,141826978
VR,0.0363512,-0.146753,0.903521,142471152
VR,0.0363421,-0.146761,0.903516,143154187
VR,0.0363346,-0.146767,0.903511,143715682
VR,0.0363269,-0.146774,0.903507,144304557
VR,0.0363189,-0.146781,0.903502,144902155
VR,0.0363116,-0.146788,0.903498,145463436
VR,0.0363038,-0.146795,0.903493,146058674
VR,0.0362962,-0.146802,0.903488,146650479
VR,0.0362885,-0.146809,0.903484,147243336
VR,0.036281,-0.146816,0.903479,147837668
VR,0.0362737,-0.146824,0.903474,148427269
VR,0.0363355,-0.146908,0.903523,149023071
VR,0.036329,-0.146916,0.903519,149584483
VR,0.0363219,-0.146923,0.903515,150173769
VR,0.0363151,-0.146931,0.90351,150767159
VR,0.0363071,-0.14694,0.903505,151448777
VR,0.0362997,-0.14695,0.903499,152129398
VR,0.0362927,-0.146958,0.903495,152729465
VR,0.0362852,-0.146967,0.903489,153409189
VR,0.0362787,-0.146976,0.903484,154015852
VR,0.0362726,-0.146983,0.90348,154577160
VR,0.0362663,-0.146992,0.903475,155166833
VR,0.0362602,-0.146999,0.90347,155727892
VR,0.0362546,-0.147008,0.903466,156286128
VR,0.0362488,-0.147016,0.903461,156841117
VR,0.0362432,-0.147024,0.903457,157397184
VR,0.0362306,-0.147032,0.903453,157990200
VR,0.0362246,-0.147041,0.903449,158585189
VR,0.0362186,-0.147049,0.903444,159180175
VR,0.0362132,-0.147058,0.903439,159741017
VR,0.036207,-0.147066,0.903435,160339787
VR,0.0362015,-0.147076,0.903429,160934430
VR,0.0361959,-0.147085,0.903424,161523842
VR,0.0361893,-0.147095,0.903419,162204624
VR,0.0361835,-0.147106,0.903413,162855326
VR,0.036177,-0.147116,0.903407,163535669
VR,0.0361725,-0.147125,0.903402,164092879
VR,0.036167,-0.147135,0.903397,164684282
VR,0.0361128,-0.147088,0.903432,165364364
VR,0.036108,-0.147097,0.903428,165926546
VR,0.0361022,-0.147108,0.903422,166567638
VR,0.036097,-0.147117,0.903418,167156953
VR,0.036092,-0.147127,0.903413,167715943
VR,0.0360872,-0.147137,0.903408,168308830
VR,0.036082,-0.147146,0.903403,168903993
VR,0.0360773,-0.147156,0.903397,169498987
VR,0.0360724,-0.147166,0.903392,170093890
VR,0.0360678,-0.147176,0.903387,170689818
VR,0.0360633,-0.147186,0.903382,171278446
VR,0.0360584,-0.147196,0.903377,171879261
VR,0.0360541,-0.147207,0.903372,172473491
VR,0.0360495,-0.147216,0.903367,173065646
VR,0.0360447,-0.147228,0.903361,173706053
VR,0.0360399,-0.147238,0.903356,174328516
VR,0.0360358,-0.147249,0.903351,174917353
VR,0.0359762,-0.147207,0.90338,175507021
VR,0.035971,-0.14722,0.903374,176187011
VR,0.0359659,-0.147232,0.903368,176861879
VR,0.0359613,-0.147243,0.903363,177480073
VR,0.0359569,-0.147253,0.903358,178070498
VR,0.0359523,-0.147263,0.903353,178660017
VR,0.0359482,-0.147274,0.903347,179255090
VR,0.0359437,-0.147285,0.903342,179854510
VR,0.0359395,-0.147296,0.903337,180457640
VR,0.035935,-0.147306,0.903332,181053785
VR,0.0359308,-0.147317,0.903327,181647467
VR,0.0359266,-0.147328,0.903322,182236378
