Source,X,Y,Z,Nanoseconds
VR,0.0,0.0,0.0,121106666
VR,-2.3999999999996247e-06,4.000000000004e-06,-9.999999999177334e-07,121706411
VR,-4.299999999998749e-06,7.000000000007001e-06,-1.999999999946489e-06,122295499
VR,-6.499999999999562e-06,1.0000000000010001e-05,-2.9999999999752447e-06,122894237
VR,-8.700000000000374e-06,1.2999999999985246e-05,-4.999999999921734e-06,123479853
VR,-1.0999999999997123e-05,1.6999999999989246e-05,-5.999999999950489e-06,124064587
VR,-1.2999999999999123e-05,1.9999999999992246e-05,-6.999999999979245e-06,124658347
VR,-1.5000000000001124e-05,2.2999999999995246e-05,-7.999999999896978e-06,125219802
VR,-1.7200000000001936e-05,2.5999999999998247e-05,-8.999999999925734e-06,125815477
VR,-1.9199999999996997e-05,2.9000000000001247e-05,-9.99999999995449e-06,126377076
VR,-2.1199999999998997e-05,3.300000000000525e-05,-1.0999999999983245e-05,126972163
VR,-2.339999999999981e-05,3.600000000000825e-05,-1.1999999999900979e-05,127534066
VR,-4.710000000000131e-05,1.2999999999985246e-05,-8.999999999925734e-06,128130712
VR,-4.930000000000212e-05,1.5999999999988246e-05,-9.99999999995449e-06,128697892
VR,-5.209999999999937e-05,1.9999999999992246e-05,-1.0999999999983245e-05,129351763
VR,-5.4199999999997306e-05,2.2999999999995246e-05,-1.1999999999900979e-05,129937425
VR,-5.659999999999693e-05,2.5999999999998247e-05,-1.2999999999929734e-05,130536196
VR,-5.890000000000062e-05,2.9000000000001247e-05,-1.1999999999900979e-05,131125192
VR,-6.130000000000024e-05,3.200000000000425e-05,-1.2999999999929734e-05,131684478
VR,-6.400000000000156e-05,3.600000000000825e-05,-1.399999999995849e-05,132369009
VR,-6.609999999999949e-05,3.900000000001125e-05,-1.4999999999987246e-05,132945574
VR,-6.849999999999912e-05,4.199999999998649e-05,-1.4999999999987246e-05,133549258
VR,-7.089999999999874e-05,4.499999999998949e-05,-1.599999999990498e-05,134137255
VR,-7.329999999999837e-05,4.799999999999249e-05,-1.6999999999933735e-05,134732673
VR,-7.560000000000205e-05,4.999999999999449e-05,-1.6999999999933735e-05,135295534
VR,-4.5400000000000995e-05,6.0000000000060005e-06,-9.999999999177334e-07,135892724
VR,-4.7399999999996056e-05,9.000000000009e-06,-1.999999999946489e-06,136450662
VR,-4.979999999999568e-05,1.1999999999984245e-05,-1.999999999946489e-06,137044992
VR,-5.2200000000002245e-05,1.5999999999988246e-05,-2.9999999999752447e-06,137606135
VR,-5.430000000000018e-05,1.8999999999991246e-05,-2.9999999999752447e-06,138187847
VR,-5.6699999999999806e-05,2.1999999999994246e-05,-4.999999999921734e-06,138786736
VR,-5.909999999999943e-05,2.4999999999997247e-05,-4.999999999921734e-06,139398523
VR,-6.139999999999618e-05,2.8000000000000247e-05,-5.999999999950489e-06,139998947
VR,-6.350000000000106e-05,3.100000000000325e-05,-5.999999999950489e-06,140577695
VR,-6.640000000000118e-05,3.500000000000725e-05,-6.999999999979245e-06,141268888
VR,-6.869999999999793e-05,3.800000000001025e-05,-6.999999999979245e-06,141859121
VR,-7.129999999999637e-05,4.099999999998549e-05,-7.999999999896978e-06,142521842
VR,-7.369999999999599e-05,4.399999999998849e-05,-8.999999999925734e-06,143103661
VR,-8.060000000000012e-05,6.40000000000085e-05,-9.99999999995449e-06,143781400
VR,-8.339999999999737e-05,6.799999999998474e-05,-1.0999999999983245e-05,144476887
VR,-8.570000000000105e-05,7.099999999998774e-05,-1.1999999999900979e-05,145065928
VR,-8.810000000000068e-05,7.399999999999074e-05,-1.1999999999900979e-05,145627655
VR,-9.05000000000003e-05,7.699999999999374e-05,-1.2999999999929734e-05,146223051
VR,-9.270000000000111e-05,7.899999999999574e-05,-1.2999999999929734e-05,146816350
VR,-9.499999999999786e-05,8.199999999999874e-05,-1.399999999995849e-05,147410293
VR,-9.750000000000036e-05,8.600000000000274e-05,-1.399999999995849e-05,148010043
VR,-9.979999999999711e-05,8.900000000000574e-05,-1.4999999999987246e-05,148571768
VR,-0.00010229999999999961,9.200000000000874e-05,-1.4999999999987246e-05,149166575
VR,-0.00010489999999999805,9.499999999998399e-05,-1.4999999999987246e-05,149753500
VR,-0.00010740000000000055,9.699999999998599e-05,-1.599999999990498e-05,150345910
