Source,X,Y,Z,Nanoseconds
VR,0.0331056,-0.207674,0.78492,121106666
VR,0.0331032,-0.20767,0.784919,121706411
VR,0.0331013,-0.207667,0.784918,122295499
VR,0.0330991,-0.207664,0.784917,122894237
VR,0.0330969,-0.207661,0.784915,123479853
VR,0.0330946,-0.207657,0.784914,124064587
VR,0.0330926,-0.207654,0.784913,124658347
VR,0.0330906,-0.207651,0.784912,125219802
VR,0.0330884,-0.207648,0.784911,125815477
VR,0.0330864,-0.207645,0.78491,126377076
VR,0.0330844,-0.207641,0.784909,126972163
VR,0.0330822,-0.207638,0.784908,127534066
VR,0.0330585,-0.207661,0.784911,128130712
VR,0.0330563,-0.207658,0.78491,128697892
VR,0.0330535,-0.207654,0.784909,129351763
VR,0.0330514,-0.207651,0.784908,129937425
VR,0.033049,-0.207648,0.784907,130536196
VR,0.0330467,-0.207645,0.784908,131125192
VR,0.0330443,-0.207642,0.784907,131684478
VR,0.0330416,-0.207638,0.784906,132369009
VR,0.0330395,-0.207635,0.784905,132945574
VR,0.0330371,-0.207632,0.784905,133549258
VR,0.0330347,-0.207629,0.784904,134137255
VR,0.0330323,-0.207626,0.784903,134732673
VR,0.03303,-0.207624,0.784903,135295534
VR,0.0330602,-0.207668,0.784919,135892724
VR,0.0330582,-0.207665,0.784918,136450662
VR,0.0330558,-0.207662,0.784918,137044992
VR,0.0330534,-0.207658,0.784917,137606135
VR,0.0330513,-0.207655,0.784917,138187847
VR,0.0330489,-0.207652,0.784915,138786736
VR,0.0330465,-0.207649,0.784915,139398523
VR,0.0330442,-0.207646,0.784914,139998947
VR,0.0330421,-0.207643,0.784914,140577695
VR,0.0330392,-0.207639,0.784913,141268888
VR,0.0330369,-0.207636,0.784913,141859121
VR,0.0330343,-0.207633,0.784912,142521842
VR,0.0330319,-0.20763,0.784911,143103661
VR,0.033025,-0.20761,0.78491,143781400
VR,0.0330222,-0.207606,0.784909,144476887
VR,0.0330199,-0.207603,0.784908,145065928
VR,0.0330175,-0.2076,0.784908,145627655
VR,0.0330151,-0.207597,0.784907,146223051
VR,0.0330129,-0.207595,0.784907,146816350
VR,0.0330106,-0.207592,0.784906,147410293
VR,0.0330081,-0.207588,0.784906,148010043
VR,0.0330058,-0.207585,0.784905,148571768
VR,0.0330033,-0.207582,0.784905,149166575
VR,0.0330007,-0.207579,0.784905,149753500
VR,0.0329982,-0.207577,0.784904,150345910
