Source,X,Y,Z,Nanoseconds
VR,0.0533304,-0.234149,1.04378,118905428
VR,0.053319,-0.234099,1.04375,119511563
VR,0.0533081,-0.234051,1.04373,120111419
VR,0.0532972,-0.234004,1.0437,120706995
VR,0.0532864,-0.233957,1.04368,121302290
VR,0.0532757,-0.233911,1.04366,121901791
VR,0.053265,-0.233864,1.04363,122508261
VR,0.053254,-0.233817,1.04361,123103904
VR,0.053243,-0.23377,1.04358,123711944
VR,0.053231,-0.233718,1.04355,124376935
VR,0.0532203,-0.233672,1.04353,124966013
VR,0.0532179,-0.233621,1.0435,125586172
VR,0.0532054,-0.233569,1.04347,126273651
VR,0.05319,-0.233502,1.04343,127125225
VR,0.0531785,-0.233455,1.04341,127747781
VR,0.0531676,-0.233411,1.04338,128335060
VR,0.0531566,-0.233365,1.04335,128932071
VR,0.0531456,-0.23332,1.04333,129519789
VR,0.0531347,-0.233274,1.0433,130115616
VR,0.0531235,-0.233229,1.04327,130711972
VR,0.0531123,-0.233183,1.04325,131308039
VR,0.0531012,-0.233139,1.04322,131900704
VR,0.0530895,-0.233091,1.04319,132525136
VR,0.0530783,-0.233045,1.04316,133121132
VR,0.0530676,-0.233001,1.04314,133704317
VR,0.0530509,-0.23295,1.04311,134317007
VR,0.0530397,-0.232905,1.04308,134905905
VR,0.0530261,-0.232853,1.04305,135597065
VR,0.0530146,-0.232808,1.04302,136189877
VR,0.0530031,-0.232763,1.04299,136786731
VR,0.0529917,-0.232719,1.04297,137369368
VR,0.0529796,-0.232675,1.04294,137961487
VR,0.0529677,-0.232631,1.04291,138550449
VR,0.0529561,-0.232587,1.04288,139133678
VR,0.0529456,-0.232548,1.04285,139647450
VR,0.0529338,-0.232504,1.04282,140235982
VR,0.0529219,-0.232459,1.0428,140832182
VR,0.05291,-0.232414,1.04277,141428531
VR,0.0528977,-0.232371,1.04274,142027215
VR,0.0528581,-0.232296,1.04271,142623300
VR,0.052846,-0.232251,1.04268,143219415
VR,0.0528345,-0.232209,1.04265,143780226
VR,0.0528214,-0.232166,1.04262,144378480
VR,0.0528094,-0.232123,1.04259,144976900
VR,0.0527959,-0.232077,1.04256,145572724
VR,0.0527833,-0.232032,1.04252,146192400
VR,0.0527698,-0.231986,1.04249,146802581
VR,0.0527568,-0.231941,1.04246,147412482
VR,0.052742,-0.23189,1.04242,148097726
VR,0.0527283,-0.231844,1.04239,148725678
VR,0.0527148,-0.231798,1.04236,149350448
VR,0.0527023,-0.231754,1.04233,149932223
VR,0.0526748,-0.231692,1.04228,150520919
VR,0.0526612,-0.231649,1.04224,151109713
VR,0.0526481,-0.231605,1.04221,151707815
VR,0.0526346,-0.231561,1.04218,152303878
VR,0.0526215,-0.231518,1.04215,152894973
VR,0.0526074,-0.231473,1.04212,153490241
VR,0.0525939,-0.231429,1.04208,154085938
VR,0.0525804,-0.231385,1.04205,154681212
VR,0.0525665,-0.23134,1.04202,155279929
VR,0.0525538,-0.231299,1.04199,155840732
VR,0.0525399,-0.231255,1.04196,156432442
VR,0.0525242,-0.231204,1.04192,157124160
VR,0.0525101,-0.231158,1.04189,157733233
VR,0.0524945,-0.231108,1.04185,158412249
VR,0.0525283,-0.231041,1.04181,159057994
VR,0.0525149,-0.230997,1.04178,159644363
VR,0.0524991,-0.230946,1.04175,160337142
VR,0.0524843,-0.230903,1.04171,160926008
VR,0.0524703,-0.23086,1.04168,161514484
VR,0.0524563,-0.230816,1.04165,162103321
VR,0.0524422,-0.230772,1.04161,162699948
VR,0.052428,-0.230727,1.04158,163295911
VR,0.0524147,-0.230685,1.04155,163856935
VR,0.0524013,-0.230643,1.04152,164415018
VR,0.0523882,-0.230602,1.04149,164969701
VR,0.052375,-0.230561,1.04146,165523646
VR,0.0523608,-0.230516,1.04143,166142100
VR,0.0523475,-0.230472,1.04139,166740098
VR,0.0523334,-0.230428,1.04136,167335482
VR,0.0523194,-0.230384,1.04133,167927605
VR,0.0523053,-0.23034,1.04129,168518107
VR,0.0522912,-0.230298,1.04126,169114794
VR,0.0522771,-0.230255,1.04123,169707509
VR,0.0522621,-0.230207,1.04119,170337880
VR,0.0522479,-0.230163,1.04116,170931415
VR,0.0522338,-0.23012,1.04113,171520962
VR,0.0522174,-0.230068,1.04109,172208696
VR,0.0522033,-0.230025,1.04106,172797987
VR,0.0521891,-0.22998,1.04102,173394199
VR,0.0521748,-0.229936,1.04099,174015259
VR,0.0521274,-0.229836,1.04095,174617872
VR,0.0521133,-0.229793,1.04092,175208677
VR,0.0521002,-0.229752,1.04089,175769903
VR,0.052086,-0.229708,1.04086,176365482
VR,0.0520717,-0.229664,1.04082,176965103
VR,0.0520579,-0.229621,1.04079,177560986
VR,0.0520437,-0.229577,1.04076,178157485
VR,0.0520307,-0.229535,1.04073,178718802
VR,0.0520142,-0.229484,1.04069,179414273
VR,0.0519984,-0.229433,1.04065,180103286
VR,0.051984,-0.229388,1.04062,180716253
VR,0.0519707,-0.229346,1.04058,181305902
VR,0.0519568,-0.229301,1.04055,181913327
VR,0.0519413,-0.229252,1.04051,182590015
VR,0.0519279,-0.229209,1.04048,183179066
VR,0.0519019,-0.229151,1.04042,183741059
VR,0.0518882,-0.229107,1.04038,184329988
VR,0.0518751,-0.229066,1.04035,184891288
VR,0.0518614,-0.229022,1.04032,185489625
VR,0.0518476,-0.228979,1.04028,186089368
VR,0.0518339,-0.228935,1.04025,186689157
VR,0.0518203,-0.228891,1.04022,187284699
VR,0.0518074,-0.228849,1.04018,187846659
VR,0.0517935,-0.228805,1.04015,188447493
VR,0.0517797,-0.228761,1.04012,189041674
VR,0.051766,-0.228717,1.04008,189637554
VR,0.0517522,-0.228673,1.04005,190233996
VR,0.0517368,-0.228624,1.04001,190896751
VR,0.0517219,-0.228577,1.03998,191540399
VR,0.0517187,-0.228529,1.03994,192133648
VR,0.0517037,-0.228482,1.0399,192782693
VR,0.051688,-0.228432,1.03986,193470011
VR,0.0516739,-0.228387,1.03983,194080376
VR,0.0516589,-0.228338,1.03979,194728231
VR,0.0516453,-0.228295,1.03976,195313596
VR,0.0516315,-0.228251,1.03972,195910251
VR,0.0516176,-0.228207,1.03969,196507743
VR,0.0516039,-0.228163,1.03966,197104278
VR,0.0515901,-0.228119,1.03962,197700358
VR,0.0515763,-0.228074,1.03959,198296452
VR,0.0515623,-0.22803,1.03955,198892299
VR,0.0515484,-0.227986,1.03952,199489308
VR,0.0515145,-0.227914,1.0395,200085203
VR,0.0515006,-0.22787,1.03947,200686991
VR,0.0514864,-0.227826,1.03943,201282989
VR,0.0514717,-0.22778,1.0394,201898268
VR,0.0514555,-0.227729,1.03936,202584340
VR,0.0514389,-0.227677,1.03932,203270393
VR,0.0514231,-0.227627,1.03928,203942934
VR,0.0514083,-0.22758,1.03924,204541838
VR,0.0513929,-0.227531,1.03921,205185015
VR,0.0513786,-0.227486,1.03917,205775083
VR,0.0513643,-0.227441,1.03914,206364647
VR,0.0513499,-0.227396,1.0391,206961166
