Source,X,Y,Z,Nanoseconds
VR,0.110535,-0.150057,0.936343,122529794
VR,0.110514,-0.150052,0.93625,123115899
VR,0.110493,-0.150047,0.936161,123697343
VR,0.110469,-0.15004,0.936056,124384875
VR,0.110449,-0.150035,0.935971,124945844
VR,0.110333,-0.149879,0.935858,125635251
VR,0.110313,-0.149875,0.935772,126201554
VR,0.11029,-0.149868,0.93567,126864184
VR,0.110269,-0.149864,0.935583,127432482
VR,0.110249,-0.149859,0.935494,128017358
VR,0.110228,-0.149854,0.935404,128605759
VR,0.110206,-0.14985,0.935315,129195124
VR,0.110185,-0.149845,0.935222,129804866
VR,0.110164,-0.149841,0.935131,130399672
VR,0.110144,-0.149837,0.935046,130960356
VR,0.110124,-0.149833,0.934961,131519886
VR,0.110103,-0.149828,0.934871,132110976
VR,0.110082,-0.149825,0.934781,132698422
VR,0.110061,-0.14982,0.934692,133286646
VR,0.110041,-0.149817,0.934607,133847488
VR,0.109999,-0.149789,0.934497,134531751
VR,0.109975,-0.149785,0.934393,135218741
VR,0.109951,-0.149781,0.934293,135876103
VR,0.109932,-0.149778,0.934207,136436326
VR,0.109912,-0.149775,0.934122,136997995
VR,0.109892,-0.149773,0.934032,137585538
VR,0.109871,-0.14977,0.933944,138163535
VR,0.109851,-0.149768,0.933854,138752276
VR,0.10983,-0.149766,0.933766,139333705
VR,0.10981,-0.149763,0.93368,139894465
VR,0.10979,-0.149761,0.93359,140489694
VR,0.109769,-0.149759,0.933499,141081773
VR,0.109749,-0.149757,0.933414,141641862
VR,0.109736,-0.149753,0.933326,142214267
VR,0.109715,-0.149751,0.933233,142822542
VR,0.109695,-0.149749,0.933143,143414333
VR,0.109675,-0.149748,0.933058,143975130
VR,0.109655,-0.149746,0.932968,144567292
VR,0.109631,-0.149746,0.932863,145255690
VR,0.109609,-0.149744,0.932767,145886578
VR,0.109588,-0.149745,0.932677,146478789
VR,0.109568,-0.149744,0.932592,147039421
VR,0.109546,-0.149743,0.932497,147665207
VR,0.109523,-0.149743,0.932397,148320788
VR,0.109504,-0.149743,0.932312,148881264
VR,0.109484,-0.149743,0.932224,149462559
VR,0.109529,-0.149832,0.932083,150038469
VR,0.109508,-0.149832,0.931993,150632068
VR,0.109487,-0.149833,0.9319,151241214
VR,0.109466,-0.149834,0.931811,151829921
VR,0.109446,-0.149834,0.93172,152425612
VR,0.109426,-0.149835,0.931636,152988789
VR,0.109404,-0.149836,0.931543,153600103
VR,0.109384,-0.149837,0.931453,154192891
VR,0.109362,-0.149838,0.93136,154811822
VR,0.109341,-0.149839,0.931271,155406338
VR,0.109321,-0.149842,0.931185,155967698
VR,0.109296,-0.149843,0.93108,156662337
VR,0.109272,-0.149846,0.930975,157349895
VR,0.109251,-0.149848,0.930888,157923738
VR,0.10923,-0.14985,0.930797,158530453
VR,0.109076,-0.149748,0.930703,159091212
VR,0.109054,-0.14975,0.930613,159689177
VR,0.109033,-0.149752,0.930526,160269020
VR,0.109012,-0.149755,0.930441,160834887
VR,0.10899,-0.149758,0.930353,161417205
VR,0.108969,-0.14976,0.930267,161990924
VR,0.108946,-0.149764,0.930177,162586254
VR,0.108924,-0.149767,0.930088,163182524
VR,0.108902,-0.14977,0.929999,163773545
VR,0.10888,-0.149773,0.929909,164370513
VR,0.108858,-0.149777,0.929824,164931498
VR,0.108836,-0.14978,0.929735,165526947
VR,0.108813,-0.149784,0.929645,166120547
VR,0.10879,-0.149787,0.929556,166716783
VR,0.108747,-0.149765,0.929464,167304886
VR,0.108725,-0.149768,0.92938,167865815
VR,0.108698,-0.149773,0.929279,168536634
VR,0.108675,-0.149776,0.929191,169136371
VR,0.108646,-0.149781,0.929085,169847987
VR,0.108618,-0.149786,0.928983,170502220
VR,0.108595,-0.14979,0.928895,171090078
VR,0.10857,-0.149795,0.928806,171678453
VR,0.108546,-0.149799,0.928717,172266824
VR,0.108522,-0.149804,0.92863,172846170
VR,0.108498,-0.149808,0.928542,173437725
VR,0.108474,-0.149813,0.928455,174018184
VR,0.108449,-0.149817,0.928366,174615820
VR,0.108398,-0.14983,0.92828,175211523
VR,0.108372,-0.149835,0.928187,175834274
VR,0.108347,-0.14984,0.9281,176429457
VR,0.108323,-0.149845,0.928016,176989972
VR,0.108297,-0.14985,0.927929,177586436
VR,0.108272,-0.149856,0.927842,178171667
VR,0.108246,-0.149861,0.927752,178777182
VR,0.108221,-0.149866,0.927666,179362841
VR,0.108197,-0.149871,0.927583,179924142
VR,0.108169,-0.149878,0.927491,180547336
VR,0.10814,-0.149884,0.92739,181229376
VR,0.10811,-0.149891,0.927289,181913583
VR,0.108079,-0.149898,0.927184,182630559
VR,0.108052,-0.149904,0.927096,183229186
VR,0.108027,-0.149909,0.927009,183817874
VR,0.108071,-0.150014,0.926859,184424944
VR,0.108046,-0.15002,0.926776,184986076
VR,0.10802,-0.150027,0.926688,185580990
VR,0.107994,-0.150034,0.926605,186140621
VR,0.107968,-0.150041,0.926517,186735592
VR,0.107941,-0.150048,0.926429,187330915
VR,0.107915,-0.150054,0.926346,187892289
VR,0.107888,-0.150061,0.926259,188487009
VR,0.107861,-0.150067,0.926171,189079263
VR,0.107833,-0.150075,0.92608,189700198
VR,0.107801,-0.150082,0.925979,190385886
VR,0.107775,-0.15009,0.925897,190947054
VR,0.107748,-0.150097,0.925809,191541506
VR,0.107638,-0.149945,0.925712,192135454
VR,0.107611,-0.149952,0.925624,192728056
VR,0.107584,-0.149959,0.925541,193289534
VR,0.107554,-0.149967,0.925447,193928671
VR,0.107525,-0.149974,0.92536,194516869
VR,0.107497,-0.149981,0.925273,195107211
VR,0.107468,-0.149989,0.925186,195703118
VR,0.107439,-0.149997,0.925097,196303225
VR,0.107412,-0.150004,0.925015,196864290
VR,0.107383,-0.150011,0.924927,197459181
VR,0.107354,-0.150019,0.92484,198054271
VR,0.107325,-0.150027,0.924753,198649173
