Source,X,Y,Z,Nanoseconds
VR,-0.0190488,-0.110973,1.07403,114453518
VR,-0.0190461,-0.110971,1.07403,115025404
VR,-0.0190437,-0.110969,1.07403,115649753
VR,-0.0190412,-0.110967,1.07404,116217062
VR,-0.0190383,-0.110965,1.07404,116895819
VR,-0.0190352,-0.110962,1.07404,117587877
VR,-0.0190328,-0.11096,1.07404,118186023
VR,-0.0190301,-0.110959,1.07404,118808016
VR,-0.0190275,-0.110956,1.07404,119438500
VR,-0.0190252,-0.110955,1.07405,119997576
VR,-0.0190332,-0.110958,1.07405,120577804
VR,-0.0190312,-0.110957,1.07405,121165253
VR,-0.0190288,-0.110955,1.07405,121764265
VR,-0.0190268,-0.110953,1.07405,122360521
VR,-0.0190246,-0.110951,1.07405,122933819
VR,-0.0190227,-0.110949,1.07406,123530523
VR,-0.0190204,-0.110947,1.07406,124127270
VR,-0.0190183,-0.110945,1.07406,124722564
VR,-0.0190161,-0.110943,1.07406,125288961
VR,-0.0190141,-0.110942,1.07406,125901497
VR,-0.0190121,-0.11094,1.07406,126464781
VR,-0.0190102,-0.110938,1.07406,127025704
VR,-0.0190083,-0.110937,1.07407,127586799
VR,-0.0190716,-0.110851,1.07412,128277012
VR,-0.0190698,-0.110849,1.07412,128854048
VR,-0.0190675,-0.110848,1.07412,129486130
VR,-0.0190659,-0.110846,1.07412,130046736
VR,-0.0190638,-0.110844,1.07412,130637457
VR,-0.0190624,-0.110842,1.07412,131198355
VR,-0.0190606,-0.11084,1.07413,131801071
VR,-0.0190593,-0.110838,1.07413,132399154
VR,-0.0190576,-0.110836,1.07413,132996399
VR,-0.0190562,-0.110835,1.07413,133595329
VR,-0.0190545,-0.110833,1.07413,134192568
VR,-0.019053,-0.110831,1.07413,134780985
VR,-0.0190513,-0.11083,1.07413,135369413
VR,-0.0190644,-0.110837,1.07413,135964773
VR,-0.019063,-0.110835,1.07414,136551203
VR,-0.0190616,-0.110833,1.07414,137148616
VR,-0.0190603,-0.110832,1.07414,137709143
VR,-0.0190587,-0.11083,1.07414,138319686
VR,-0.0190572,-0.110828,1.07414,138901223
VR,-0.0190555,-0.110827,1.07414,139591364
VR,-0.0190537,-0.110826,1.07414,140196028
VR,-0.0190518,-0.110824,1.07414,140886674
VR,-0.0190502,-0.110822,1.07415,141576966
VR,-0.0190488,-0.110821,1.07415,142142983
VR,-0.0190474,-0.110819,1.07415,142732346
VR,-0.0190461,-0.110818,1.07415,143293043
VR,-0.0190446,-0.110816,1.07415,143880871
VR,-0.0190432,-0.110815,1.07415,144441775
VR,-0.0190065,-0.110859,1.07417,145033203
VR,-0.0190049,-0.110858,1.07417,145629523
VR,-0.0190035,-0.110857,1.07417,146226199
VR,-0.0190022,-0.110856,1.07417,146784630
VR,-0.0190008,-0.110855,1.07417,147340298
VR,-0.0189995,-0.110853,1.07417,147934095
VR,-0.0189979,-0.110852,1.07417,148531031
VR,-0.0189968,-0.110851,1.07417,149122902
VR,-0.0189954,-0.11085,1.07417,149727501
VR,-0.018994,-0.110849,1.07418,150366730
VR,-0.0189925,-0.110847,1.07418,150952769
VR,-0.018991,-0.110846,1.07418,151638130
VR,-0.0189897,-0.110845,1.07418,152197709
VR,-0.0189884,-0.110844,1.07418,152786678
VR,-0.0189869,-0.110844,1.07418,153377446
VR,-0.0189874,-0.110846,1.07418,153965868
VR,-0.0189865,-0.110845,1.07418,154554072
VR,-0.0189852,-0.110844,1.07418,155142601
VR,-0.0189841,-0.110843,1.07419,155732214
VR,-0.0189829,-0.110842,1.07419,156329003
VR,-0.0189816,-0.110841,1.07419,156934499
VR,-0.0189804,-0.11084,1.07419,157495927
VR,-0.0189792,-0.110839,1.07419,158092450
VR,-0.0189776,-0.110838,1.07419,158653658
VR,-0.0189763,-0.110837,1.07419,159250035
VR,-0.0189751,-0.110837,1.07419,159810896
VR,-0.0189737,-0.110836,1.0742,160482474
VR,-0.0189724,-0.110835,1.0742,161099100
VR,-0.018971,-0.110834,1.0742,161783668
