Source,X,Y,Z,Nanoseconds=
6939,0.904,-0.429,0.419,1528526513
6939,1.365,-0.066,0.522,1528578917
6939,1.345,-0.162,1.208,1528582317
6939,1.397,-0.252,1.487,1528584654
6939,1.743,-0.391,1.633,1528586846
6939,1.943,-0.348,1.639,1528589027
6939,2.188,-0.44,1.446,1528591233
6939,2.276,-0.367,1.159,1528593426
6939,1.828,-0.419,1.392,1528595586
6939,1.949,-0.304,1.063,1528597696
6939,1.5,-0.298,1.657,1528599931
6939,1.564,-0.09,1.408,1528602265
6939,1.281,0.033,1.565,1528604604
6939,1.267,-0.138,1.07,1528606868
6939,1.105,-0.115,1.933,1528609107
6939,1.173,-0.005,1.665,1528611444
6939,1.392,-0.064,1.417,1528613704
6939,1.55,0.011,1.225,1528615954
6939,1.688,0.104,1.076,1528618199
6939,1.938,0.145,0.49,1528620399
6939,1.517,-0.243,1.63,1528622689
6939,1.673,-0.28,1.506,1528624916
6939,1.368,-0.061,1.396,1528627142
6939,1.251,-0.106,1.475,1528629400
6939,1.064,0.027,1.32,1528631584
6939,1.05,-0.112,1.522,1528633742
6939,1.262,-0.171,1.325,1528635967
6939,1.207,-0.2,1.564,1528638205
6939,1.189,-0.136,1.182,1528640443
6939,1.259,-0.147,1.123,1528642636
6939,1.266,-0.275,1.762,1528644791
6939,1.154,0.069,1.001,1528646972
6939,1.488,-0.035,0.546,1528649153
6939,1.774,0.009,0.412,1528651459
6939,2.035,0.133,0.04,1528653860
6939,2.318,0.269,-0.143,1528656152
6939,1.438,-0.367,1.207,1528658349
6939,1.584,-0.095,1.063,1528660544
6939,1.44,0.01,1.171,1528662814
6939,1.496,0.1,1.122,1528665038
6939,1.347,-0.076,1.559,1528667327
6939,1.43,0.012,1.517,1528669561
6939,1.643,-0.081,1.361,1528671719
6939,1.387,-0.108,1.376,1528673887
6939,1.268,-0.128,1.483,1528676094
6939,1.436,-0.138,1.194,1528678295
6939,1.76,-0.214,0.578,1528680427
6939,1.47,-0.453,1.908,1528682670
6939,1.658,-0.381,1.682,1528684849
6939,1.797,-0.329,1.469,1528687004
6939,1.518,-0.193,1.335,1528689137
6939,1.709,-0.152,1.035,1528691319
6939,1.642,-0.28,1.163,1528693547
6939,1.44,-0.277,1.572,1528695693
6939,1.65,-0.39,1.321,1528697808
6939,1.563,-0.298,1.256,1528700020
6939,1.371,-0.263,1.584,1528702216
6939,1.533,-0.202,1.236,1528704382
6939,1.621,-0.025,1.093,1528706551
6939,1.816,0.06,0.494,1528708769
6939,1.574,-0.393,1.557,1528711018
