Source,X,Y,Z,Nanoseconds
VR,-0.364867,-0.637003,0.799742,118392499
VR,-0.364867,-0.637003,0.799741,118968421
VR,-0.364868,-0.637003,0.799741,119565027
VR,-0.364867,-0.637003,0.799741,120141055
VR,-0.364868,-0.637003,0.79974,120731341
VR,-0.364867,-0.637003,0.79974,121326302
VR,-0.364867,-0.637003,0.79974,121925679
VR,-0.364867,-0.637004,0.799739,122489120
VR,-0.364863,-0.637012,0.799755,123176791
VR,-0.364863,-0.637013,0.799755,123831252
VR,-0.364863,-0.637013,0.799755,124393214
VR,-0.364863,-0.637013,0.799754,125083066
VR,-0.364864,-0.637013,0.799754,125770158
VR,-0.364864,-0.637013,0.799754,126362838
VR,-0.364864,-0.637014,0.799754,127052661
VR,-0.364864,-0.637014,0.799754,127614381
VR,-0.364864,-0.637014,0.799754,128211512
VR,-0.364864,-0.637014,0.799754,128805423
VR,-0.364864,-0.637014,0.799754,129402556
VR,-0.364864,-0.637014,0.799754,130003228
VR,-0.364864,-0.637015,0.799754,130600497
VR,-0.364864,-0.637015,0.799754,131164058
VR,-0.364851,-0.636988,0.799756,131762490
VR,-0.36485,-0.636988,0.799756,132360011
VR,-0.36485,-0.636987,0.799756,132959278
VR,-0.36485,-0.636987,0.799756,133556615
VR,-0.36485,-0.636987,0.799756,134177914
VR,-0.36485,-0.636987,0.799756,134739339
VR,-0.36485,-0.636987,0.799756,135365767
VR,-0.364849,-0.636987,0.799755,136041174
VR,-0.364849,-0.636987,0.799755,136602271
VR,-0.364849,-0.636987,0.799755,137227367
VR,-0.364849,-0.636987,0.799755,137789010
VR,-0.364849,-0.636986,0.799755,138380330
VR,-0.364849,-0.636986,0.799755,138943929
VR,-0.364875,-0.636958,0.799785,139545002
VR,-0.364875,-0.636958,0.799785,140144720
VR,-0.364874,-0.636958,0.799785,140738271
VR,-0.364874,-0.636958,0.799785,141338828
VR,-0.364874,-0.636957,0.799785,141936895
VR,-0.364874,-0.636957,0.799785,142551765
VR,-0.364873,-0.636957,0.799785,143114839
VR,-0.364873,-0.636957,0.799785,143705757
VR,-0.364873,-0.636957,0.799785,144268944
VR,-0.364873,-0.636957,0.799786,144860748
VR,-0.364873,-0.636956,0.799786,145452098
VR,-0.364873,-0.636956,0.799786,146042461
VR,-0.364874,-0.636956,0.799786,146605894
VR,-0.364838,-0.636984,0.799797,147217726
VR,-0.364838,-0.636984,0.799797,147780468
VR,-0.364838,-0.636984,0.799796,148396389
VR,-0.364838,-0.636984,0.799796,148958191
VR,-0.364838,-0.636984,0.799796,149548913
VR,-0.364838,-0.636984,0.799796,150110744
VR,-0.364838,-0.636984,0.799796,150678022
VR,-0.364837,-0.636983,0.799795,151276132
VR,-0.364837,-0.636983,0.799795,151873716
VR,-0.364836,-0.636983,0.799795,152495994
VR,-0.364836,-0.636983,0.799795,153104362
VR,-0.364836,-0.636983,0.799795,153701789
VR,-0.364837,-0.636983,0.799796,154263684
VR,-0.364837,-0.636983,0.799796,154864956
VR,-0.364837,-0.636983,0.799796,155428259
VR,-0.36489,-0.636924,0.799765,156035323
VR,-0.36489,-0.636924,0.799765,156593885
VR,-0.36489,-0.636923,0.799764,157185428
VR,-0.36489,-0.636923,0.799764,157747334
VR,-0.36489,-0.636923,0.799764,158338095
VR,-0.364891,-0.636922,0.799764,158935560
VR,-0.364891,-0.636922,0.799763,159607895
VR,-0.364891,-0.636922,0.799763,160169710
VR,-0.364891,-0.636922,0.799763,160754481
VR,-0.364891,-0.636921,0.799763,161342630
VR,-0.364891,-0.636921,0.799762,161934923
VR,-0.364891,-0.636921,0.799762,162532736
VR,-0.364891,-0.63692,0.799761,163133356
VR,-0.364891,-0.63692,0.799761,163730857
VR,-0.364891,-0.63692,0.799761,164294140
VR,-0.364849,-0.636821,0.799765,164903251
VR,-0.364848,-0.63682,0.799764,165467235
VR,-0.364848,-0.63682,0.799764,166066280
VR,-0.364847,-0.636819,0.799764,166628147
VR,-0.364847,-0.636818,0.799763,167219691
VR,-0.364847,-0.636818,0.799763,167781762
VR,-0.364846,-0.636817,0.799763,168373549
VR,-0.364846,-0.636816,0.799762,169018505
VR,-0.364846,-0.636815,0.799762,169706377
VR,-0.364847,-0.636814,0.799762,170397796
VR,-0.364846,-0.636814,0.799762,171005630
VR,-0.364846,-0.636813,0.799761,171693266
VR,-0.364846,-0.636812,0.799762,172256779
VR,-0.364859,-0.636797,0.799774,172817719
VR,-0.364859,-0.636796,0.799774,173378540
VR,-0.364859,-0.636795,0.799774,173937466
VR,-0.364858,-0.636794,0.799773,174494180
VR,-0.364858,-0.636794,0.799773,175073805
VR,-0.364858,-0.636793,0.799772,175667814
VR,-0.364857,-0.636792,0.799772,176266128
VR,-0.364858,-0.636791,0.799772,176874228
VR,-0.364858,-0.63679,0.799771,177491160
VR,-0.364858,-0.636789,0.799771,178053091
VR,-0.364858,-0.636789,0.799771,178614808
VR,-0.364858,-0.636788,0.79977,179212732
VR,-0.364857,-0.636787,0.79977,179896440
VR,-0.364857,-0.636786,0.79977,180507765
VR,-0.364856,-0.636785,0.79977,181071993
VR,-0.364839,-0.636813,0.799779,181665302
VR,-0.364839,-0.636812,0.799779,182230950
VR,-0.364839,-0.636811,0.799779,182835584
VR,-0.364839,-0.63681,0.799779,183434826
VR,-0.364839,-0.636809,0.799778,183996787
VR,-0.364839,-0.636809,0.799778,184559351
VR,-0.364838,-0.636808,0.799778,185155309
VR,-0.364838,-0.636807,0.799778,185753326
VR,-0.364838,-0.636806,0.799778,186323602
VR,-0.364838,-0.636805,0.799777,186924693
VR,-0.364838,-0.636804,0.799776,187486886
VR,-0.364838,-0.636803,0.799776,188079068
VR,-0.364837,-0.636803,0.799776,188638339
VR,-0.364827,-0.636817,0.799797,189236001
VR,-0.364827,-0.636817,0.799797,189799990
VR,-0.364826,-0.636816,0.799797,190416487
VR,-0.364826,-0.636815,0.799796,190980573
VR,-0.364826,-0.636814,0.799796,191573309
VR,-0.364826,-0.636814,0.799796,192136954
VR,-0.364826,-0.636813,0.799796,192808100
VR,-0.364826,-0.636812,0.799796,193400569
VR,-0.364826,-0.636811,0.799795,193992543
VR,-0.364825,-0.63681,0.799795,194555108
VR,-0.364825,-0.636809,0.799795,195153674
VR,-0.364824,-0.636808,0.799795,195751611
VR,-0.364824,-0.636807,0.799794,196349682
VR,-0.364823,-0.636806,0.799795,196947779
VR,-0.364823,-0.636805,0.799795,197545950
VR,-0.36486,-0.636897,0.799793,198108971
VR,-0.36486,-0.636896,0.799793,198722065
VR,-0.36486,-0.636896,0.799793,199321912
VR,-0.36486,-0.636895,0.799793,199885533
VR,-0.364859,-0.636895,0.799793,200490906
VR,-0.364859,-0.636894,0.799793,201054447
